apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +25,New Account Name,اسم الحساب الجديد
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +26,Name of new Account. Note: Please don't create accounts for Customers and Suppliers,اسم الحساب الجديد. ملاحظة: الرجاء عدم إنشاء حسابات للعملاء والموردين
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +28,"Further accounts can be made under Groups, but entries can be made against non-Groups",يمكن إنشاء العديد من الحسابات تحت المجموعة، لكن إدخالات القيود يمكن ان تكون فقط مقابل  حسابات فردية و ليست مجموعات
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +36,Optional. This setting will be used to filter in various transactions.,.اختياري . سيتم استخدام هذا الإعداد لتصفية في المعاملات المختلفة.
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js +41,"Optional. Sets company's default currency, if not specified.",.اختياري. ضبط العملة الافتراضية للشركة
apps/erpnext/erpnext/accounts/doctype/account/account.js +21,Please create new account from Chart of Accounts.,.يرجى إنشاء حساب جديد من دليل الحسابات
apps/erpnext/erpnext/accounts/doctype/account/account.js +41,This is a root account and cannot be edited.,.هذا حساب أساسي و لا يمكن تعديله
apps/erpnext/erpnext/accounts/doctype/account/account.js +58,Chart of Accounts,دليل الحسابات
apps/erpnext/erpnext/accounts/doctype/account/account.js +62,Group to Non-Group,من مجموعة حساب الاستاذ إلى حساب فرعي
apps/erpnext/erpnext/accounts/doctype/account/account.js +73,Ledger,الاستاذ العام
apps/erpnext/erpnext/accounts/doctype/account/account.js +83,Non-Group to Group,من حساب فرعي إلى مجموعة الاستاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +101,Account with child nodes cannot be set as ledger,الحساب الذي لديه حسابات فرعية لا يمكن تعيينه كحساب استاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +109,You are not authorized to set Frozen value,.أنت غير مخول لتغيير القيم المجمدة
apps/erpnext/erpnext/accounts/doctype/account/account.py +117,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",رصيد الحساب رصيد مدين، لا يسمح لك بتغييره 'الرصيد يجب أن يكون دائن'
apps/erpnext/erpnext/accounts/doctype/account/account.py +119,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",رصيد الحساب رصيد دائن، لا يسمح لك بتغييره 'الرصيد يجب أن يكون مدين'
apps/erpnext/erpnext/accounts/doctype/account/account.py +127,Currency can not be changed after making entries using some other currency,لا يمكن تغيير العملة بعد إجراء إدخالات باستخدام بعض العملات الأخرى
apps/erpnext/erpnext/accounts/doctype/account/account.py +131,Account with child nodes cannot be converted to ledger,الحساب المتفرع منه حساب فرعي لايمكن ان يحول الي حساب استاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +141,Account with existing transaction can not be converted to group.,لا يمكن تحويل حساب جرت عليه أي عملية إلى مجموعة استاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +159,Root Type is mandatory,نوع الحساب الزامي
apps/erpnext/erpnext/accounts/doctype/account/account.py +162,Report Type is mandatory,نوع التقرير إلزامي
apps/erpnext/erpnext/accounts/doctype/account/account.py +177,Account with existing transaction can not be deleted,لا يمكن حذف حساب جرت عليه أي عملية
apps/erpnext/erpnext/accounts/doctype/account/account.py +179,Child account exists for this account. You can not delete this account.,لا يمكنك حذف هذا الحساب. يوجد حساب فرعي مرتبط بهذا الحساب
apps/erpnext/erpnext/accounts/doctype/account/account.py +193,Account {0} does not exist,حساب {0} غير موجود
apps/erpnext/erpnext/accounts/doctype/account/account.py +199,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company",لا يمكن الدمج  يجب أن تكون مجموعة دفتر الاستاذ ونوع الحساب والشركة متوافقه مع السجلات
apps/erpnext/erpnext/accounts/doctype/account/account.py +26,Company {0} does not exist,الشركة {0} غير موجودة
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} does not exist,حساب {0}: حسابه الأصل {1} غير موجود
